guid,date,title,desc,duration,category
22585117,2026-02-17,"""I'm very disappointed about the decision"" - Minister on Rotunda planning ruling","Jennifer Carroll MacNeill, Minister for Health and Fine Gael TD for Dún Laoghaire, reacts to the decision by on An Coimisiún Pleanála to overturn planning approval for the proposed development of a new critical care wing at the Rotunda Hospital in Dublin.",748,Politics / Gov
22585118,2026-02-17,8.35am Sports News,Presented by Darren Frehill.,374,Sports
22585119,2026-02-17,"Rain recorded every day this year at Valentia Observatory, travel agents busy","Barry Gallagher, Reporter, speaks to members of the public about the fact that it has rained every day this year.  Siobhan Ryan from Met Eireann looks forward to the weather ahead in the coming days. Claire Dunne, Chief executive of the Irish Travel Agents Association, discusses how people are coping with the bad weather.",300,Transport
22585120,2026-02-17,"""Naked political propoganda dressed up as theatre""","Craig Hughes, Irish Daily Mail political editor, discusses the opening night of a play based on Gerard Hutch’s trial at the Special Criminal Court.",242,Arts / Culture
22585121,2026-02-17,Godfather star Robert Duvall dies aged 95,"Michael Doherty, Movies Editor at the RTÉ Guide, discusses the life and legacy of the actor Robert Duvall who has died aged 95.",308,Other
22584696,2026-02-16,7.10am It Says In The Papers,Presented by John S. Doyle.,210,It Says in Papers
22584697,2026-02-16,"Funding cut to tenant-in-situ scheme 'beggars belief', says Sinn Féin","Eoin Ó Broin, Sinn Féin housing spokesperson, on the reduction of houses purchased under the tenant-in-situ scheme in 2025.",404,Politics / Gov
22584698,2026-02-16,"Four months on from ceasefire, Gazans still being killed","Adam Parsons, Sky News Middle East Correspondent, discusses the latest developments in Gaza after at least 12 people were killed in Israeli airstrikes, according to Palestinian authorities.",430,International
22584699,2026-02-16,"Over 19,600 vehicles seized for being driven without insurance in 2025","David Fitzgerald, CEO of the Motor Insurers' Bureau of Ireland, discusses their report findings which show that more than 19,000 uninsured vehicles were seized in 2025.",216,Other
22584700,2026-02-16,7.35am Sports News,Presented by Darren Frehill.,360,Sports
22584701,2026-02-16,'Honest conversation' needed on protecting security,"Minister for Foreign Affairs, Helen McEntee, on the government's plans for security following the Munich Security Conference.",609,Other
22584702,2026-02-16,7.50am Business News,Presented by Adam Maguire.,262,Business
22584703,2026-02-16,Weather Forecast,Presented by Aoife Kealy.,146,Weather
22584704,2026-02-16,8am News Bulletin,Presented by Kate Carolan.,310,News Bulletin
22584705,2026-02-16,8.10am It Says In The Papers,Presented by John S. Doyle.,261,It Says in Papers
22584706,2026-02-16,New UUP leader calls for apology from Irish government,"Jon Burrows, Ulster Unionist Party leader, calls for an apology from the Irish government for conduct during the Troubles.",637,Politics / Gov
22584707,2026-02-16,"State recognition of Thalidomide mistakes ""really important"" - Irish Thalidomide Association","Finola Cassidy, spokesperson for the Irish Thalidomide Association, outlines the need for an apology from the State to the 40 survivors in Ireland who are still alive.",367,Health / HSE
22584709,2026-02-16,8.35am Sports News,Presented by Darren Frehill.,462,Sports
22584708,2026-02-16,'On bonus time' - crash survivors share recovery stories,Aaron McElroy reports on the recovery journey faced by people seriously injured in road crashes. [Photo of James Murtagh],317,Other
22584711,2026-02-16,'Never too late' - Guthrie pleads for mother's release as FBI analyses glove,"Sarah Firth, Foreign Correspondent based in Washington, discusses a possible break-through in the search for Nancy Guthrie, who disappeared from her home in Tucson, Arizona.",301,Other
22584710,2026-02-16,Minister urged to give clarity over SNA cuts in schools,"Andy Pike, Forsa's head of education, highlights that the trade union for SNA's, Forsa have been contacted by several schools who have been informed they will lose their SNA's for the 2026/27 school term.",153,Health / HSE
22584167,2026-02-13,7.10am It Says In The Papers,Presented by Shane McElhatton.,198,It Says in Papers
22584168,2026-02-13,Rubio to put pressure on EU leaders at Munich Security Conference,"Dr. Jenny Mathers, Senior Lecturer in International Politics at Aberystwyth University, discusses the likely talking points at the Munich Security Conference.",413,International
22584169,2026-02-13,"""There's a growing hostility to the government"" - Chicago pastor on impact of ICE","Fr Jerry Boland, joins us from Chicago to discuss the impact of ICE on his community and city.",392,Politics / Gov
22584170,2026-02-13,Gardaí investigate arson attack at Islamic Cultural Centre in Limerick,"Petula Martyn, Mid-West Correspondent, reports on an arson attack on the Islamic Cultural Centre in Co Limerick.",232,Crime / Justice
22584171,2026-02-13,7.35am Sports News,Presented by Des Cahill.,351,Sports
22584172,2026-02-13,Calls for HSE to 'do something' with vacant Ratoath site,"Laura Hogan, North-East Correspondent, reports on calls for the HSE to make use of a prominent piece of land in the growing village of Ratoath.",240,Health / HSE
22584173,2026-02-13,Celtic Mist to set sail on final season with whale and dolphin group,"Fiacc O'Brolchain, one of the skippers of the Celtic Mist and former director of the The Irish Whale and Dolphin Group, discusses the Celtic Mist yacht, formally owned by Charlie Haughey, which is to be decommissioned by the IWDG.",227,Science / Nature
22584174,2026-02-13,7.50am Business News,Presented by Gail Conway.,226,Business
22584175,2026-02-13,Weather Forecast,Presented by Liz Walsh.,152,Weather
22584176,2026-02-13,8am News Bulletin,Presented by Karin Carthy.,324,News Bulletin
22584177,2026-02-13,8.10am It Says In The Papers,Presented by Shane McElhatton.,225,It Says in Papers
22584178,2026-02-13,Commuters face disruption as north Dublin impacted by heavy rain,"Reporter, Aaron McElroy highlights the status yellow rain warning for Dublin and Wicklow.",180,Other
22584179,2026-02-13,"""It's clearly nuts"" - Jill Stein on Trump's repeal of EPA finding","Dr Jill Stein, former US Presidential candidate for the Green Party, discusses President Donald Trump’s decision to repeal a landmark scientific finding underpinning climate regulations.",577,International
22584180,2026-02-13,Bohemians' Lambert - Boycotting Israel ties 'the right thing to do',"Daniel Lambert, Chief Commercial Officer, Bohemians, discusses the significance of Ireland’s upcoming Euro League games against Israel.",383,International
22584181,2026-02-13,8.35am Sports News,Presented by Des Cahill.,461,Sports
22584182,2026-02-13,Review into death of prisoner at Cloverhill Prison to be published,"Conor Ryan, RTE Investigates Journalist, on the release of a review into the death of Ivan Rosney while in Cloverhill Prison.",274,Crime / Justice
